Gender_Female,Gender_Male,Subscription Type_Basic,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Annual,Contract Length_Monthly,Contract Length_Quarterly,Age,Tenure,Usage Frequency,Total Spend
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.15789473684210525,-0.6333333333333333,0.42857142857142855,0.320924972883155
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.368421052631579,-0.6,-1.0714285714285714,1.5385443831576935e-05
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.8421052631578947,-0.26666666666666666,0.6428571428571429,-1.6123791281068978
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.15789473684210525,-0.43333333333333335,0.21428571428571427,0.5560453255175278
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.10526315789473684,0.5333333333333333,-0.35714285714285715,0.6062018724085142
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.8421052631578947,-0.9,-1.0714285714285714,0.4835183432954081
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.47368421052631576,0.1,0.2857142857142857,0.9674828644619322
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.47368421052631576,-0.1,-0.9285714285714286,0.6201103136322723
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.263157894736842,0.43333333333333335,-0.14285714285714285,0.03386336187333162
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.263157894736842,-0.6,0.9285714285714286,-0.9261883332179424
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5789473684210527,0.8,-0.07142857142857142,-1.0480410483641425
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.42105263157894735,0.8333333333333334,0.5,0.8219981075904085
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7894736842105263,-0.9666666666666667,-0.5,-1.3415953166708974
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.263157894736842,-0.7,-0.8571428571428571,-0.14153069780680497
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.9473684210526315,-1.0333333333333334,-0.6428571428571429,0.8185209972844689
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5263157894736842,-0.8,0.0,0.38714392313432233
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2631578947368421,0.3,-0.7857142857142857,0.09066642049956544
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.8947368421052632,0.06666666666666667,0.07142857142857142,0.9436354265229663
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5263157894736842,0.6333333333333333,0.2857142857142857,0.47696414422315037
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3684210526315789,0.26666666666666666,0.42857142857142855,-0.2519058718546383
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.42105263157894735,-0.06666666666666667,-0.2857142857142857,-0.987730108544306
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.105263157894737,-0.4666666666666667,0.21428571428571427,0.41252990545644735
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.10526315789473684,0.4,0.21428571428571427,0.002784765333517874
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0526315789473684,-0.9666666666666667,-0.7857142857142857,0.803135553452878
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.42105263157894735,-0.5,-0.42857142857142855,0.18374835568069056
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3684210526315789,0.0,0.5714285714285714,0.719869531436308
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3684210526315789,0.9333333333333333,-0.5714285714285714,0.04444854722946635
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5789473684210527,-0.4666666666666667,-0.35714285714285715,-1.2585139199803064
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1578947368421053,-0.9333333333333333,0.14285714285714285,-0.09845145507835036
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.7894736842105263,-0.9666666666666667,-0.14285714285714285,-0.5292438823628963
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.105263157894737,0.6,-0.5714285714285714,-0.27236851215065416
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.15789473684210525,-0.36666666666666664,-0.6428571428571429,0.553891363381105
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-0.5333333333333333,0.21428571428571427,0.5832160193241173
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.42105263157894735,0.16666666666666666,-0.2857142857142857,-0.3815128506919603
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.21052631578947367,0.8666666666666667,-0.35714285714285715,0.9707445785542297
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3684210526315789,-0.16666666666666666,0.7857142857142857,0.6216796289030946
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.631578947368421,-0.43333333333333335,0.14285714285714285,-0.7723338949020331
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.42105263157894735,0.06666666666666667,1.0,0.21285761541006035
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0526315789473684,0.6666666666666666,0.5714285714285714,0.34464932727146835
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7894736842105263,0.3,0.8571428571428571,-1.6837368165978162
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8421052631578947,-0.8,0.7142857142857143,-0.41363765741232195
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.47368421052631576,-0.4666666666666667,0.5714285714285714,-0.4305001038517457
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.42105263157894735,0.7333333333333333,-0.42857142857142855,-0.8379374273999367
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.2631578947368421,-0.16666666666666666,0.7857142857142857,-0.5015500834660327
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.3157894736842105,-0.03333333333333333,0.7142857142857143,0.05494141992261126
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.105263157894737,0.7,0.2857142857142857,0.32926388343987745
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0526315789473684,-0.9666666666666667,0.6428571428571429,0.3191710322863539
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.7894736842105263,-0.4,-0.42857142857142855,0.5261975644842414
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9473684210526315,0.6666666666666666,-0.35714285714285715,-1.4923726662204886
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.105263157894737,0.8666666666666667,-1.0714285714285714,-0.14688483226019863
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.8421052631578947,0.26666666666666666,-0.2857142857142857,0.691098751471233
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.3684210526315789,-0.1,-0.7857142857142857,0.9723754356003782
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5263157894736842,0.16666666666666666,0.21428571428571427,0.3484956882293661
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.7894736842105263,0.23333333333333334,0.2857142857142857,-0.47604101759325507
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8947368421052632,-0.5333333333333333,-1.0,-1.0246551737401242
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5789473684210527,-0.43333333333333335,0.9285714285714286,-0.41520697268314455
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.6842105263157895,0.2,0.0,-0.02549368042894607
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3684210526315789,-0.4666666666666667,0.14285714285714285,0.1182679067334393
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.05263157894736842,-0.4,1.0,0.83729123875901
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.263157894736842,0.1,0.7142857142857143,0.123098936096559
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.42105263157894735,0.36666666666666664,-0.9285714285714286,0.2653527497634488
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.3157894736842105,0.6666666666666666,-0.35714285714285715,0.5498911479848915
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5263157894736842,0.8,-0.21428571428571427,0.9347118691006436
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.2631578947368421,-0.4666666666666667,-0.14285714285714285,0.2123345103197864
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.10526315789473684,-0.43333333333333335,-0.2857142857142857,-0.0036771210757503858
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5789473684210527,-0.43333333333333335,0.5,0.5908164285769232
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.10526315789473684,0.06666666666666667,-1.0714285714285714,-1.15081581315917
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.05263157894736842,-0.9,-0.35714285714285715,0.10771349226496807
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.3684210526315789,0.5333333333333333,-0.7142857142857143,-0.8000276937988967
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3684210526315789,0.03333333333333333,-1.0,-0.6332187117767879
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.03333333333333333,1.0,0.0030924742101497626
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.47368421052631576,0.7666666666666667,0.2857142857142857,0.913295331287069
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.105263157894737,0.7333333333333333,0.35714285714285715,0.4377312624525935
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05263157894736842,-0.9,0.14285714285714285,0.6463578808089664
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.2631578947368421,-0.5666666666666667,-0.2857142857142857,0.28618464071142286
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.10526315789473684,0.9,0.14285714285714285,0.8743393875054808
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3157894736842105,-0.3333333333333333,0.42857142857142855,0.41542236889678663
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.36666666666666664,-0.9285714285714286,-1.4554476010246702
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.7894736842105263,0.3,-0.21428571428571427,-1.5982552906694971
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8947368421052632,0.4,1.0,-0.9631133984137605
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3684210526315789,0.6,-0.6428571428571429,-0.22550445023962815
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8421052631578947,-0.13333333333333333,-0.7857142857142857,-0.4092374204764871
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7368421052631579,0.5666666666666667,-0.7142857142857143,-0.5323209711292145
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6842105263157895,0.8666666666666667,-0.14285714285714285,-0.21538082819844143
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.9473684210526315,0.7333333333333333,-0.7857142857142857,0.8000584646865598
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5263157894736842,-0.26666666666666666,-0.42857142857142855,-1.0123468186748514
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.03333333333333333,0.07142857142857142,-1.2431284761487154
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.15789473684210525,0.5666666666666667,0.14285714285714285,0.9746832521751169
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5789473684210527,0.36666666666666664,0.9285714285714286,-0.09700522335818074
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.05263157894736842,-0.43333333333333335,0.9285714285714286,0.7290700268475991
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3684210526315789,-0.16666666666666666,-0.6428571428571429,-1.5569915303131703
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.631578947368421,-0.8333333333333334,0.42857142857142855,-0.23187402398590692
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.2105263157894737,0.1,-0.8571428571428571,-1.4646788673236248
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9473684210526315,0.7333333333333333,0.5714285714285714,0.16925526759133178
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.631578947368421,-0.4,0.9285714285714286,-0.8709238189748678
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3157894736842105,-0.7,-0.7857142857142857,0.6092789611748324
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.368421052631579,0.43333333333333335,0.5,0.9508358142361509
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.15789473684210525,0.16666666666666666,-0.21428571428571427,0.4585016116252412
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.105263157894737,-0.8666666666666667,-0.9285714285714286,-0.38154362157962346
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.05263157894736842,0.9,-0.14285714285714285,0.04992576523351263
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.9473684210526315,0.5,0.7857142857142857,0.7439323655889161
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0526315789473684,-0.16666666666666666,0.7857142857142857,-0.9784988422453514
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0526315789473684,0.06666666666666667,0.5,0.720054156762287
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3684210526315789,0.9,-0.42857142857142855,0.2734454932188656
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.8947368421052632,-0.8,-0.5714285714285714,-0.2953851361227142
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.368421052631579,-0.16666666666666666,-0.5714285714285714,-0.2861538698237597
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.05263157894736842,-0.3,0.21428571428571427,0.4585016116252412
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.5263157894736842,0.8,-0.35714285714285715,0.9992384205303361
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.47368421052631576,0.36666666666666664,0.5714285714285714,-0.7015608532767148
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.7894736842105263,-0.36666666666666664,0.35714285714285715,-0.27710722885078404
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.105263157894737,-0.23333333333333334,-1.0,-0.3927442246890216
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.13333333333333333,-0.7142857142857143,-0.5218280984360695
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.47368421052631576,-0.9,-0.2857142857142857,0.29064641942258435
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.21052631578947367,0.7,0.07142857142857142,0.6184794565861238
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.47368421052631576,0.06666666666666667,0.8571428571428571,-0.17864038832860213
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.10526315789473684,-0.36666666666666664,0.9285714285714286,0.19248728777703394
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6842105263157895,-0.3333333333333333,0.5714285714285714,0.5108121206526504
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05263157894736842,-0.03333333333333333,0.14285714285714285,-0.07266545121660398
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.9473684210526315,0.8333333333333334,0.35714285714285715,0.8185825390597953
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.3684210526315789,-0.06666666666666667,0.9285714285714286,0.44003907902733214
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7894736842105263,-0.4666666666666667,-0.21428571428571427,-0.4307770418407144
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05263157894736842,-0.5333333333333333,1.0,0.6596816751671242
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.2631578947368421,0.06666666666666667,-0.42857142857142855,0.11436000400021526
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.05263157894736842,-0.7666666666666667,-0.7857142857142857,0.3614194610479026
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.42105263157894735,-0.43333333333333335,-0.21428571428571427,0.2476594893571192
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5789473684210527,-0.06666666666666667,0.9285714285714286,0.12362204118683297
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.8947368421052632,0.23333333333333334,-0.42857142857142855,0.24310539798296824
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7894736842105263,-0.1,0.0,0.8092897309855144
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.47368421052631576,0.7666666666666667,-1.0,-0.17380935896548275
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.3684210526315789,-0.4666666666666667,-1.0714285714285714,-0.4184686867754417
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2631578947368421,0.7666666666666667,-0.9285714285714286,-0.006138792088804795
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-0.13333333333333333,-0.7142857142857143,0.15513143015393122
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.9473684210526315,0.7333333333333333,0.0,-0.9307116537044301
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8947368421052632,-0.2,-0.6428571428571429,-0.02460132468671391
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.6842105263157895,-0.06666666666666667,0.14285714285714285,-0.0476794904341003
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.9473684210526315,0.06666666666666667,0.07142857142857142,-0.3119398736855061
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.1578947368421053,0.06666666666666667,1.0,-1.418522535828852
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.3157894736842105,-0.5,-0.5714285714285714,-1.649304193302716
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7368421052631579,-0.8666666666666667,-0.07142857142857142,0.07534251844330082
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.4,-0.2857142857142857,-0.572323125091351
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.15789473684210525,0.5666666666666667,-0.7142857142857143,0.9477894963574959
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.42105263157894735,-0.6,0.7857142857142857,-0.4613940750655805
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3157894736842105,0.7,-0.9285714285714286,0.3851438154362156
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7894736842105263,-0.3333333333333333,0.7857142857142857,0.04924880570492255
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.47368421052631576,0.43333333333333335,0.14285714285714285,0.2800304631787865
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5789473684210527,-0.16666666666666666,-0.8571428571428571,0.6421422691991104
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5263157894736842,-0.2,-0.5714285714285714,0.8778472686990835
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0526315789473684,0.5,-0.14285714285714285,-1.603147861807943
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.10526315789473684,0.36666666666666664,-0.14285714285714285,-0.382312893771203
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5263157894736842,0.5,0.0,-0.40154469856069164
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.13333333333333333,-0.42857142857142855,-0.3742509212034493
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.631578947368421,0.06666666666666667,0.7142857142857143,0.27526097559099344
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.6842105263157895,-0.43333333333333335,0.5714285714285714,0.5608148131053209
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.15789473684210525,-0.4,-0.14285714285714285,-0.28569230650881206
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.6842105263157895,-0.1,0.21428571428571427,-1.2092804997192155
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3157894736842105,-0.06666666666666667,0.07142857142857142,0.06463424953651348
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21052631578947367,-0.8333333333333334,-0.6428571428571429,-0.24624402852461275
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2631578947368421,0.1,0.6428571428571429,-0.3230789350195779
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8947368421052632,-0.7666666666666667,0.35714285714285715,-0.9200341556853059
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.05263157894736842,-0.2,-0.5,0.2677221081135137
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.263157894736842,0.5333333333333333,-0.7857142857142857,-0.9969613748432605
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.47368421052631576,0.1,-0.14285714285714285,0.5320440331402458
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5789473684210527,0.36666666666666664,0.7142857142857143,0.5551837406629585
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.8421052631578947,0.3333333333333333,0.21428571428571427,0.429176955682229
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05263157894736842,-0.2,0.6428571428571429,-0.26144484703022475
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3684210526315789,0.9333333333333333,0.2857142857142857,-1.0147469479125797
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.7894736842105263,-0.16666666666666666,0.8571428571428571,-0.48154900648496446
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.05263157894736842,0.8333333333333334,1.0,0.3211403690967975
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.47368421052631576,0.5333333333333333,0.07142857142857142,0.686206180332787
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.2631578947368421,0.0,0.42857142857142855,0.581646704053295
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.15789473684210525,0.36666666666666664,-0.14285714285714285,-1.2462055649150336
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.42105263157894735,0.4,0.9285714285714286,-0.34461855638380523
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.47368421052631576,-0.9,-0.42857142857142855,0.8739085950781963
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5789473684210527,-0.13333333333333333,-0.07142857142857142,0.6673128553075933
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-0.16666666666666666,0.7142857142857143,-0.004600247705645702
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10526315789473684,0.5333333333333333,-0.7142857142857143,0.3879439662135654
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.47368421052631576,-0.36666666666666664,-0.8571428571428571,-0.30153931365535064
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.631578947368421,0.8666666666666667,-0.35714285714285715,-0.9261883332179424
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3157894736842105,-0.06666666666666667,-0.42857142857142855,0.15079273499342266
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.368421052631579,-0.26666666666666666,0.8571428571428571,-0.24922880462794147
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2631578947368421,0.8666666666666667,0.07142857142857142,-0.06260337095074357
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5263157894736842,-0.43333333333333335,0.14285714285714285,-0.032078650388866946
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.05263157894736842,0.7666666666666667,0.21428571428571427,0.12263737278161134
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.8666666666666667,-0.7142857142857143,0.34766487426246023
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3157894736842105,0.9,0.6428571428571429,-0.2548291061826407
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10526315789473684,-0.7666666666666667,0.5,-0.4498549921918873
